uniprot,pdb,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
P28482,4fuy,0.831,59.0,71.0,0.433,45.0,104.0,2.502,5.734,0.594,Medium
P62826,3gj4,0.0,0.0,2.0,1.0,63.0,63.0,4.218,61.139,0.044,Incorrect
Q9UM73,4cmo,0.882,45.0,51.0,0.25,15.0,60.0,2.585,3.537,0.662,Medium
P28482,6g8x,0.845,60.0,71.0,0.455,50.0,110.0,2.647,6.027,0.584,Medium
Q99683,8qgy,0.0,0.0,10.0,1.0,1.0,1.0,23.358,57.711,0.008,Incorrect
Q06124,8rzy,0.882,67.0,76.0,0.118,9.0,76.0,0.699,1.044,0.896,High
P46109,2lqn,0.0,0.0,1.0,1.0,31.0,31.0,6.446,47.43,0.027,Incorrect
O00571,8ssw,0.779,67.0,86.0,0.173,14.0,81.0,10.169,34.757,0.286,Acceptable
Q9BYP7,5o2c,0.0,0.0,0.0,1.0,2.0,2.0,2.888,22.462,0.113,Incorrect
P28482,6g9j,0.831,59.0,71.0,0.468,52.0,111.0,2.535,5.707,0.593,Medium
P28482,8ao9,0.831,59.0,71.0,0.449,48.0,107.0,2.522,5.785,0.592,Medium
Q6SZW1,7qg0,0.769,40.0,52.0,0.2,10.0,50.0,0.73,1.477,0.849,High
P28482,6qa1,0.831,59.0,71.0,0.454,49.0,108.0,2.54,5.865,0.589,Medium
Q06124,8s0h,0.893,67.0,75.0,0.043,3.0,70.0,0.762,1.021,0.891,High
Q9UM73,6edl,0.905,38.0,42.0,0.095,4.0,42.0,1.1,1.578,0.841,High
P28482,8ao4,0.845,60.0,71.0,0.45,49.0,109.0,2.521,5.789,0.597,Medium
P54578,6iim,0.923,24.0,26.0,0.25,8.0,32.0,0.602,0.934,0.924,High
P62826,7mns,0.0,0.0,2.0,1.0,67.0,67.0,4.206,60.985,0.044,Incorrect
Q9UM73,4fnx,0.907,39.0,43.0,0.093,4.0,43.0,2.289,1.587,0.725,Medium
Q06124,6md7,0.895,68.0,76.0,0.093,7.0,75.0,0.309,0.46,0.95,High
,,,,,,,,,,,Incorrect
P28482,6oph,0.841,58.0,69.0,0.333,29.0,87.0,2.356,5.718,0.606,Medium
P11142,3fzm,0.95,38.0,40.0,0.05,2.0,40.0,0.413,0.608,0.958,High
P62826,7mnq,0.0,0.0,2.0,1.0,65.0,65.0,4.216,61.386,0.044,Incorrect
,,,,,,,,,,,Incorrect
P08631,3vry,0.906,29.0,32.0,0.033,1.0,30.0,0.63,1.22,0.912,High
Q9Y6K1,4u7p,0.214,15.0,70.0,0.754,46.0,61.0,13.716,47.327,0.086,Incorrect
Q06124,7jvn,0.92,69.0,75.0,0.068,5.0,74.0,0.345,0.415,0.956,High
P28482,8aoh,0.831,59.0,71.0,0.449,48.0,107.0,2.71,5.968,0.578,Medium
Q6SZW1,7knq,0.765,39.0,51.0,0.536,45.0,84.0,1.232,37.786,0.47,Acceptable
Q9UGN5,7aeo,0.432,35.0,81.0,0.255,12.0,47.0,8.515,18.176,0.214,Incorrect
P28482,8u8j,0.841,58.0,69.0,0.341,30.0,88.0,2.413,5.794,0.601,Medium
O76074,3lfv,1.0,7.0,7.0,0.125,1.0,8.0,0.699,3.646,0.889,High
P28482,4g6o,0.831,59.0,71.0,0.449,48.0,107.0,2.505,5.642,0.596,Medium
Q06124,8s01,0.882,67.0,76.0,0.056,4.0,71.0,0.684,0.992,0.899,High
Q9UM73,4fob,0.87,47.0,54.0,0.266,17.0,64.0,2.527,3.573,0.66,Medium
